id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Focused;2021-06-07T03:31:55;Loop;CANCELLED;PAYPAL;2021-06-06T21:52:20;22604;21030
2;connect invoice Soft;2021-06-06T16:52:27;Unbranded SDR Consultant;ISSUED;CREDIT_CARD;2021-06-07T04:15:08;77772;59283
3;Central Soap;2021-06-07T09:21:08;Baby;PAID;PAYPAL;2021-06-06T17:34:29;24198;87472
4;parse intuitive Division;2021-06-06T18:25:37;back-end synergy transmitting;CANCELLED;CASH_ON_DELIVERY;2021-06-06T16:50:47;98367;35535
5;open;2021-06-06T18:29:45;Dynamic iterate;PAID;CREDIT_CARD;2021-06-06T14:46:33;6085;99574
6;black Maine;2021-06-07T05:39:50;RAM;ISSUED;PAYPAL;2021-06-07T10:41:42;32458;45702
7;Buckinghamshire Internal auxiliary;2021-06-06T14:16:39;analyzer Agent;CANCELLED;CREDIT_CARD;2021-06-06T22:22:46;39958;66616
8;auxiliary;2021-06-06T13:48:12;bypassing transitional Toys;ISSUED;CASH_ON_DELIVERY;2021-06-06T16:47:20;5093;2706
9;compelling Account;2021-06-07T02:48:53;unleash;CANCELLED;CREDIT_CARD;2021-06-07T08:42:26;70805;58730
10;Soap;2021-06-07T01:02:07;Arizona Fresh;ISSUED;PAYPAL;2021-06-07T08:01:18;58055;76516
