id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2021-05-12T02:32:19;RAM systemic;PAID;CASH_ON_DELIVERY;2021-05-12T06:58:14;5801;Infrastructure gold Grove;1
2;2021-05-11T23:22:25;Soft program;CANCELLED;CREDIT_CARD;2021-05-12T01:56:49;92692;Consultant;2
3;2021-05-12T08:59:30;reciprocal;ISSUED;PAYPAL;2021-05-12T06:35:11;56857;Home;3
4;2021-05-12T10:33:27;Bhutanese;CANCELLED;PAYPAL;2021-05-12T12:23:00;87472;parse intuitive Division;4
5;2021-05-12T01:19:45;back-end synergy transmitting;CANCELLED;CASH_ON_DELIVERY;2021-05-11T23:44:55;98367;Gloves visualize;5
6;2021-05-11T19:59:53;function;CANCELLED;CREDIT_CARD;2021-05-12T14:50:39;85471;Director;6
7;2021-05-12T11:43:27;Maine;PAID;CREDIT_CARD;2021-05-11T20:59:41;11254;customized hub;7
8;2021-05-12T06:18:13;Agent Towels Groves;PAID;PAYPAL;2021-05-11T20:37:56;83224;interactive deposit Electronics;8
9;2021-05-11T22:46:33;Concrete Toys Plains;PAID;CREDIT_CARD;2021-05-12T04:16:54;34085;Wooden Intuitive applications;9
10;2021-05-12T15:36:34;Arizona Vermont system;ISSUED;CREDIT_CARD;2021-05-12T01:49:11;6974;CSS;10
